arquivo_original,arquivo_saida,status,hash_sha256
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Arpeggiator_0_1.wav,audio/00000_counting_whook_stem_102_f_minor_arpeggiator_0_1.wav,sucesso,a3fe5e45add2eff53cdd0ee168e4ed6a7db238055cc4532d983d47e1db0056b6
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Bass_0_0.wav,audio/00000_counting_whook_stem_102_f_minor_bass_0_0.wav,sucesso,d701bcf45590a3da224294f01d2919bbcb079e8df316e6d4512408df6f138a53
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Clap_0_2.wav,audio/00000_counting_whook_stem_102_f_minor_clap_0_2.wav,sucesso,b7d0f86d46bf11b08e4427254623f1eef3011abb8d19e91e27a11017d411b9d8
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Clap_1_3.wav,audio/00000_counting_whook_stem_102_f_minor_clap_1_3.wav,sucesso,673de1611dedc697922630d74ef36b548130b66c7013070355e2d32101581a8e
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Clap_2_12.wav,audio/00000_counting_whook_stem_102_f_minor_clap_2_12.wav,sucesso,02e727ba73144a2c105c7189fa12a3c397e24f4a111256735b7d21360847aecf
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Cymbal_0_4.wav,audio/00000_counting_whook_stem_102_f_minor_cymbal_0_4.wav,sucesso,7c06834e133c0a34da0a1dbf667958666aac12a328e22333ecbf0efa5538e0dc
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Cymbal_1_5.wav,audio/00000_counting_whook_stem_102_f_minor_cymbal_1_5.wav,sucesso,8987137bb85e719b8dfa310af8e8568d621d7cf364a9d3062925323fdd949782
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Cymbal_2_18.wav,audio/00000_counting_whook_stem_102_f_minor_cymbal_2_18.wav,sucesso,d94e789ca8765467f36430acccab77476c3a13eaba02f95201c3f83c6f4a308d
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Effects_0_17.wav,audio/00000_counting_whook_stem_102_f_minor_effects_0_17.wav,sucesso,82909d21fb95eea2f55ef115d1f544720947e029f4d397b7bad5db0de6a0d37e
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Guitar_0_6.wav,audio/00000_counting_whook_stem_102_f_minor_guitar_0_6.wav,sucesso,6cf35e70def516316ace156160c53a5189d70e72070e7613c02ecf3817229ead
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Hi-Hat_0_7.wav,audio/00000_counting_whook_stem_102_f_minor_hi_hat_0_7.wav,sucesso,bdc3fc89d3a606db96d1dfffefadec7687ef4f9bbfef0b48fcdc431daf3a75da
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Hi-Hat_1_8.wav,audio/00000_counting_whook_stem_102_f_minor_hi_hat_1_8.wav,sucesso,74f2071328c07f25e86e85551e81a45d2027d0415d53efec3ff751717036236a
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Hi-Hat_2_9.wav,audio/00000_counting_whook_stem_102_f_minor_hi_hat_2_9.wav,sucesso,00b275613dedfec662950b319e0a8e7b64bf6a68cef0309e6d1709e4778dc633
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Hi-Hat_3_15.wav,audio/00000_counting_whook_stem_102_f_minor_hi_hat_3_15.wav,sucesso,3685a1950c65f15e82e6da306726b29bcf4197397b1ce3c501e79039bc9dbbd6
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Kick Drum_0_10.wav,audio/00000_counting_whook_stem_102_f_minor_kick_drum_0_10.wav,sucesso,aa90588c6be08911051e651229847145e9f0c1ea00f6bd9b294c88cd14eb400a
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Lead Synth_0_11.wav,audio/00000_counting_whook_stem_102_f_minor_lead_synth_0_11.wav,sucesso,dacfd04f524e9d020321edc0a52a846e3cafcdd31cff5f5a2f05dd04fe7c009e
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Pad_0_16.wav,audio/00000_counting_whook_stem_102_f_minor_pad_0_16.wav,sucesso,455bb52aa2a05b5606d2dc7a7abc9524e8262f0e8322c624334c602288a97a0e
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Percussion_0_14.wav,audio/00000_counting_whook_stem_102_f_minor_percussion_0_14.wav,sucesso,b9b4c3d3a09e1064b46538abd34f87e2e906df5d80f8efda76072cd683bf5ed2
